"ID","StationName","District","Lat","Long"
"183","S+U Potsdamer Platz Bhf (Berlin)","Mitte","52.509164","13.377685"
"184","U Naturkundemuseum (Berlin)","Mitte","52.530672","13.382927"
"185","U Krumme Lanke (Berlin)","Steglitz-Zehlendorf","52.442615","13.240360"
"186","U Oskar-Helene-Heim (Berlin)","Steglitz-Zehlendorf","52.450695","13.269948"
"187","U Mohrenstr. (Berlin)","Mitte","52.511519","13.383798"
"188","U Podbielskiallee (Berlin)","Steglitz-Zehlendorf","52.464172","13.295203"
"189","S Oranienburger Str. (Berlin)","Mitte","52.525161","13.393068"
"190","U Osloer Str. (Berlin)","Mitte","52.556938","13.373284"
"191","U Möckernbrücke (Berlin)","Friedrichshain-Kreuzberg","52.498944","13.383256"
"192","S Wartenberg (Berlin)","Lichtenberg","52.573266","13.504238"
"193","U Heinrich-Heine-Str. (Berlin)","Mitte","52.510858","13.416169"
"194","U Nauener Platz (Berlin)","Mitte","52.551524","13.367365"
"195","U Gleisdreieck (Berlin)","Friedrichshain-Kreuzberg","52.499587","13.374293"
"196","U Spittelmarkt (Berlin)","Mitte","52.511301","13.402352"
"197","U Güntzelstr. (Berlin)","Charlottenburg-Wilmersdorf","52.491992","13.331210"
"198","U Märkisches Museum (Berlin)","Mitte","52.511841","13.409881"
"199","U Pankstr. (Berlin)","Mitte","52.552255","13.381837"
"200","U Hausvogteiplatz (Berlin)","Mitte","52.513361","13.395346"
"201","S Tegel (Berlin)","Reinickendorf","52.588881","13.288328"
"202","S Lichterfelde Süd (Berlin)","Steglitz-Zehlendorf","52.410714","13.309184"
"203","S Hackescher Markt (Berlin)","Mitte","52.522263","13.402554"
"204","S Treptower Park (Berlin)","Treptow-Köpenick","52.492868","13.460249"
"205","S+U Friedrichstr. Bhf (Berlin)","Mitte","52.520134","13.388018"
"206","S+U Jannowitzbrücke (Berlin)","Mitte","52.515500","13.418027"
"207","S+U Alexanderplatz Bhf (Berlin)","Mitte","52.521152","13.412832"
"208","U Dahlem-Dorf (Berlin)","Steglitz-Zehlendorf","52.457695","13.290011"
"209","S+U Alexanderplatz Bhf/Grunerstr. (Berlin)","Mitte","52.520414","13.414429"
"210","U Alexanderplatz (Berlin)","Mitte","52.522128","13.414661"
"211","S Osdorfer Str. (Berlin)","Steglitz-Zehlendorf","52.418126","13.314284"
"212","S Hennigsdorf Bhf","Reinickendorf","52.637856","13.205047"
"213","U Bülowstr. (Berlin)","Tempelhof-Schöneberg","52.497657","13.362452"
"214","U Blissestr./Fechnerstr. (Berlin)","Charlottenburg-Wilmersdorf","52.486328","13.323384"
